[01/04/2018][12:46:52]  -system err,ReadMob ENOENTN Arma_SemiDeus 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 2086 749 3809 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 2287 1003 4004 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 2523 799 3889 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 2601 1030 3762 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 2617 1077 3753 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 2635 1068 3786 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 2641 1128 3762 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 3051 1396 3789 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 3511 1333 4039 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 3852 2112 1637 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 3869 2085 1596 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 3873 2133 1595 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 3878 2139 1583 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 3891 2133 1551 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 4036 3622 2822 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 5690 3432 1622 
[01/04/2018][12:47:34]  -system err,No empty mobgrid(1): 5841 3424 1460 
[01/04/2018][12:47:36]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:47:46]  -system err,No empty mobgrid(1): 259 2360 2160 
[01/04/2018][12:47:46]  -system err,No empty mobgrid(1): 1296 1953 1621 
[01/04/2018][12:47:46]  -system err,No empty mobgrid(1): 1298 1982 1620 
[01/04/2018][12:47:46]  -system err,No empty mobgrid(1): 3605 2448 4010 
[01/04/2018][12:47:46]  -system err,No empty mobgrid(1): 3792 2232 3628 
[01/04/2018][12:47:46]  -system err,No empty mobgrid(1): 3852 2113 1636 
[01/04/2018][12:47:46]  -system err,No empty mobgrid(1): 3891 2131 1551 
[01/04/2018][12:47:46]  -system err,No empty mobgrid(1): 3904 3661 3067 
[01/04/2018][12:47:46]  -system err,No empty mobgrid(1): 4106 3541 2896 
[01/04/2018][12:47:46]  -system err,No empty mobgrid(1): 5690 3432 1622 
[01/04/2018][12:47:46]  -system err,No empty mobgrid(1): 5841 3425 1459 
[01/04/2018][12:47:48]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:47:55] IP: 25.5.216.68 DECO CNFAccountLogin Mac: 7086871.-1527429516.-2139805708.172737324 
[01/04/2018][12:47:58]  -system err,No empty mobgrid: 147 2292 2126 
[01/04/2018][12:47:58]  -system err,No empty mobgrid: 1197 2209 1705 
[01/04/2018][12:47:58]  -system err,No empty mobgrid(1): 1293 1945 1575 
[01/04/2018][12:47:58]  -system err,No empty mobgrid(1): 1297 1967 1620 
[01/04/2018][12:47:58]  -system err,No empty mobgrid(1): 1467 2192 1487 
[01/04/2018][12:47:58]  -system err,No empty mobgrid(1): 2086 750 3808 
[01/04/2018][12:47:58]  -system err,No empty mobgrid(1): 3511 1333 4040 
[01/04/2018][12:47:58]  -system err,No empty mobgrid(1): 3852 2112 1635 
[01/04/2018][12:47:58]  -system err,No empty mobgrid(1): 3891 2134 1551 
[01/04/2018][12:47:58]  -system err,No empty mobgrid(1): 5832 3426 1432 
[01/04/2018][12:47:59]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:48:00] IP: 25.5.216.68 DECO sta,Login char:TESTEEE exp:0 level:1011 conn:1 money:1885548264, store:0 
[01/04/2018][12:48:03]  DECO etc,changecity city:0 X:2087 Y:2104 
[01/04/2018][12:48:10]  -system err,No empty mobgrid(1): 1292 1956 1562 
[01/04/2018][12:48:10]  -system err,No empty mobgrid(1): 2641 1128 3763 
[01/04/2018][12:48:10]  -system err,No empty mobgrid(1): 3792 2232 3627 
[01/04/2018][12:48:10]  -system err,No empty mobgrid(1): 3852 2113 1635 
[01/04/2018][12:48:11]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:48:22]  -system err,No empty mobgrid(1): 1467 2192 1485 
[01/04/2018][12:48:22]  -system err,No empty mobgrid(1): 3511 1332 4042 
[01/04/2018][12:48:22]  -system err,No empty mobgrid(1): 3605 2448 4010 
[01/04/2018][12:48:22]  -system err,No empty mobgrid(1): 4106 3542 2895 
[01/04/2018][12:48:23]  -system err,standingby processer delete hp zero mob 
[01/04/2018][12:48:34]  -system err,No empty mobgrid(1): 2246 416 4046 
[01/04/2018][12:48:34]  -system err,No empty mobgrid(1): 2726 1740 1676 
[01/04/2018][12:48:35]  -system err,standingby processer delete hp zero mob 
