[01/04/2018][12:51:23]  -system sys,start server 
[01/04/2018][12:51:32] IP: 25.80.207.79 FOKUS1 CNFAccountLogin Mac: 2033827341.-1638183242.-2033065182.-1411387887 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 223 2350 2129 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 337 2321 2218 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 378 2434 2108 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 601 2543 1953 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 700 2660 2004 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 704 2655 2004 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 797 2526 1833 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 798 2535 1832 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 883 2575 2059 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 1006 2369 1744 
[01/04/2018][12:51:35]  -system err,No empty mobgrid: 1179 2272 1748 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 1186 2211 1748 
[01/04/2018][12:51:35]  -system err,No empty mobgrid: 1198 2209 1690 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 1230 2250 1735 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 1296 1954 1621 
[01/04/2018][12:51:35]  -system err,No empty mobgrid: 1300 1960 1635 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 1448 1822 1760 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 1456 1817 1678 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 1556 2272 1252 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 1871 319 3744 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 1913 380 3740 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 1914 388 3764 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 1968 411 3815 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 2019 596 3772 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 2500 832 3954 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 2553 912 3753 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 2620 1048 3754 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 2663 2348 2196 
[01/04/2018][12:51:35]  -system err,No empty mobgrid: 2869 1196 4022 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 2938 1359 4072 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 2948 1384 3992 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 2974 1473 3986 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 2997 1495 4007 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3045 1371 3799 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3060 1379 3745 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3102 1442 3772 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3306 1536 1701 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3375 1300 1678 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3486 491 3888 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3792 2231 3627 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3832 2393 2117 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3852 2116 1635 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3860 2087 1610 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3871 2102 1596 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3872 2118 1596 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3873 2136 1594 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3875 2122 1568 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3879 2138 1568 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3880 2087 1566 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3885 2052 1574 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3886 2055 1586 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3887 2062 1551 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 3889 2098 1552 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 5690 3432 1622 
[01/04/2018][12:51:35]  -system err,No empty mobgrid: 5768 3407 1539 
[01/04/2018][12:51:35]  -system err,No empty mobgrid: 5770 3408 1533 
[01/04/2018][12:51:35]  -system err,No empty mobgrid: 5771 3409 1530 
[01/04/2018][12:51:35]  -system err,No empty mobgrid: 5772 3409 1525 
[01/04/2018][12:51:35]  -system err,No empty mobgrid(1): 5971 3392 1088 
[01/04/2018][12:51:41] IP: 25.80.207.79 FOKUS1 sta,Login char:[GM]Fokus- exp:0 level:1012 conn:1 money:1998305114, store:0 
[01/04/2018][12:51:43]  FOKUS1 etc,changecity city:0 X:2086 Y:2093 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 140 2284 2144 
[01/04/2018][12:51:47]  -system err,No empty mobgrid: 148 2296 2114 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 233 2362 2118 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 245 2368 2146 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 337 2322 2219 
[01/04/2018][12:51:47]  -system err,No empty mobgrid: 796 2513 1833 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 935 2600 2132 
[01/04/2018][12:51:47]  -system err,No empty mobgrid: 1181 2252 1748 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 1233 2268 1692 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 1297 1968 1621 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 1531 2210 1306 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 1968 411 3815 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 2048 664 3767 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 2086 749 3809 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 2239 412 4066 
[01/04/2018][12:51:47]  -system err,No empty mobgrid: 2869 1196 4022 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 3313 1536 1764 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 3511 1332 4040 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 3852 2118 1635 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 3871 2102 1594 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 3875 2123 1567 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 3889 2095 1551 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 4036 3624 2821 
[01/04/2018][12:51:47]  -system err,No empty mobgrid(1): 5971 3388 1086 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 268 2361 2170 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 337 2322 2218 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 1006 2369 1745 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 1298 1977 1622 
[01/04/2018][12:51:59]  -system err,No empty mobgrid: 1456 1820 1680 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 1542 2244 1302 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 2019 596 3772 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 2086 749 3809 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 2630 1059 3814 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 2938 1360 4072 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 2974 1472 3986 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 3486 488 3888 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 3510 1338 4032 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 3586 778 4064 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 3792 2232 3628 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 3871 2107 1594 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 4064 3668 2770 
[01/04/2018][12:51:59]  -system err,No empty mobgrid(1): 5971 3391 1086 
[01/04/2018][12:52:07] IP: 25.5.216.68 DECO CNFAccountLogin Mac: 7086871.-1527429516.-2139805708.172737324 
[01/04/2018][12:52:11]  -system err,No empty mobgrid(1): 1203 2198 1714 
[01/04/2018][12:52:11]  -system err,No empty mobgrid(1): 1205 2195 1698 
[01/04/2018][12:52:11]  -system err,No empty mobgrid(1): 2086 749 3809 
[01/04/2018][12:52:11]  -system err,No empty mobgrid(1): 3511 1333 4039 
[01/04/2018][12:52:11]  -system err,No empty mobgrid(1): 5971 3391 1088 
[01/04/2018][12:52:14] IP: 25.5.216.68 DECO sta,Login char:TESTEEE exp:0 level:1011 conn:2 money:1885548264, store:0 
[01/04/2018][12:52:17]  DECO etc,changecity city:0 X:2087 Y:2102 
[01/04/2018][12:52:23]  -system err,No empty mobgrid(1): 2814 1746 1628 
[01/04/2018][12:52:23]  -system err,No empty mobgrid(1): 3486 491 3888 
[01/04/2018][12:52:23]  -system err,No empty mobgrid(1): 4036 3621 2822 
[01/04/2018][12:52:23]  -system err,No empty mobgrid(1): 5971 3388 1085 
