[11/08/2017][22:32:58]  -system sys,start server 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 62 2215 2063 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 70 2219 2063 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 100 2227 2062 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 328 2321 2218 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 337 2318 2223 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 442 2488 2054 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 545 2488 1950 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 575 2450 1951 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 602 2543 1943 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 673 2618 1978 
[11/08/2017][22:33:10]  -system err,No empty mobgrid: 792 2472 1836 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 802 2476 1820 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 908 2612 2078 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 1032 2396 1688 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 1046 2363 1700 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 1118 2336 1596 
[11/08/2017][22:33:10]  -system err,No empty mobgrid: 1179 2274 1748 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 1184 2226 1748 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 1204 2198 1710 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 1227 2267 1736 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 1240 2296 1618 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 1279 1996 1638 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 1292 1956 1560 
[11/08/2017][22:33:10]  -system err,No empty mobgrid: 1304 1960 1644 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 1506 2192 1360 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 1542 2244 1302 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 1830 279 3790 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 1968 409 3815 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 1995 560 3802 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 2086 750 3809 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 2220 420 4027 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 2253 974 4075 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 2287 1003 4005 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 2307 952 4002 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 2445 2328 2088 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 2542 930 3804 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 2620 1048 3754 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 2869 1195 4023 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 2882 1225 4013 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3051 1397 3790 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3068 1404 3733 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3514 1317 4042 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3850 2123 1632 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3852 2113 1634 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3855 2060 1636 
[11/08/2017][22:33:10]  -system err,No empty mobgrid: 3860 2086 1616 
[11/08/2017][22:33:10]  -system err,No empty mobgrid: 3864 2138 1623 
[11/08/2017][22:33:10]  -system err,No empty mobgrid: 3868 2074 1595 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3869 2083 1596 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3870 2098 1595 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3873 2132 1595 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3874 2124 1582 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3878 2139 1581 
[11/08/2017][22:33:10]  -system err,No empty mobgrid: 3885 2048 1574 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3886 2054 1584 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3887 2059 1551 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3889 2097 1550 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3891 2135 1550 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 3892 2153 1550 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 5690 3432 1622 
[11/08/2017][22:33:10]  -system err,No empty mobgrid: 5770 3409 1534 
[11/08/2017][22:33:10]  -system err,No empty mobgrid(1): 5841 3424 1460 
[11/08/2017][22:33:14] IP: 192.168.1.108 TESTE CNFAccountLogin Mac: -1327610679.-2104213023.-2033555236.-2082929153 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 426 2468 2084 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 601 2543 1953 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 604 2522 1949 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 708 2641 2004 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 1053 2335 1746 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 1181 2251 1748 
[11/08/2017][22:33:22]  -system err,No empty mobgrid: 1197 2209 1699 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 1297 1969 1621 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 1405 1876 1758 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 1407 1903 1755 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 1713 157 3819 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 2239 413 4066 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 2287 1005 4005 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 2307 952 4002 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 2601 1030 3763 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 2882 1225 4013 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 2965 1417 4003 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 3051 1396 3789 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 3850 2125 1626 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 3852 2118 1634 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 3855 2060 1635 
[11/08/2017][22:33:22]  -system err,No empty mobgrid: 3870 2096 1595 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 3873 2132 1594 
[11/08/2017][22:33:22]  -system err,No empty mobgrid: 3874 2125 1581 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 3878 2139 1585 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 3887 2062 1552 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 3892 2152 1551 
[11/08/2017][22:33:22]  -system err,No empty mobgrid(1): 4036 3622 2823 
[11/08/2017][22:33:23] IP: 192.168.1.108 TESTE etc,createchar name:Teste 1 13 
[11/08/2017][22:33:25] IP: 192.168.1.108 TESTE etc,createchar name:Teste1 1 13 
[11/08/2017][22:33:29] IP: 192.168.1.108 TESTE sta,Login char:Teste1 exp:0 level:0 conn:1 money:2000000000, store:0 
[11/08/2017][22:33:34]  -system err,No empty mobgrid(1): 223 2350 2131 
[11/08/2017][22:33:34]  -system err,No empty mobgrid(1): 708 2641 2004 
[11/08/2017][22:33:34]  -system err,No empty mobgrid(1): 1126 2326 1570 
[11/08/2017][22:33:34]  -system err,No empty mobgrid(1): 1204 2195 1711 
[11/08/2017][22:33:34]  -system err,No empty mobgrid(1): 1298 1981 1621 
[11/08/2017][22:33:34]  -system err,No empty mobgrid(1): 2086 750 3809 
[11/08/2017][22:33:34]  -system err,No empty mobgrid(1): 2239 411 4066 
[11/08/2017][22:33:34]  -system err,No empty mobgrid(1): 3605 2449 4010 
[11/08/2017][22:33:34]  -system err,No empty mobgrid(1): 3852 2114 1635 
[11/08/2017][22:33:34]  -system err,No empty mobgrid: 3873 2136 1595 
[11/08/2017][22:33:36]  TESTE etc,changecity city:0 X:2112 Y:2054 
[11/08/2017][22:33:46]  -system err,No empty mobgrid(1): 361 2378 2244 
[11/08/2017][22:33:46]  -system err,No empty mobgrid(1): 1181 2251 1748 
[11/08/2017][22:33:46]  -system err,No empty mobgrid(1): 1205 2195 1703 
[11/08/2017][22:33:46]  -system err,No empty mobgrid(1): 1229 2269 1719 
[11/08/2017][22:33:46]  -system err,No empty mobgrid(1): 1297 1971 1621 
[11/08/2017][22:33:46]  -system err,No empty mobgrid(1): 2086 750 3808 
[11/08/2017][22:33:46]  -system err,No empty mobgrid(1): 2753 1746 1826 
[11/08/2017][22:33:46]  -system err,No empty mobgrid(1): 3511 1333 4040 
[11/08/2017][22:33:46]  -system err,No empty mobgrid(1): 3852 2112 1638 
[11/08/2017][22:33:52] IP: 192.168.1.108 ADMIN CNFAccountLogin Mac: -1327610679.-2104213023.-2033555236.-2082929153 
[11/08/2017][22:33:57] IP: 192.168.1.108 ADMIN sta,Login char:HT-te exp:848168570 level:312 conn:2 money:794505770, store:0 
[11/08/2017][22:33:58]  -system err,No empty mobgrid(1): 1298 1977 1623 
[11/08/2017][22:33:58]  -system err,No empty mobgrid: 1542 2244 1303 
[11/08/2017][22:33:59]  ADMIN etc,changecity city:0 X:2098 Y:2106 
[11/08/2017][22:34:10]  -system err,No empty mobgrid(1): 1181 2249 1748 
[11/08/2017][22:34:10]  -system err,No empty mobgrid(1): 1297 1972 1622 
[11/08/2017][22:34:10]  -system err,No empty mobgrid(1): 3511 1332 4041 
[11/08/2017][22:34:22]  -system err,No empty mobgrid(1): 1298 1981 1620 
[11/08/2017][22:34:34]  -system err,No empty mobgrid(1): 1297 1968 1622 
[11/08/2017][22:34:36] IP: 192.168.1.108 TESTE etc,pkmode 1 
[11/08/2017][22:34:44] IP: 192.168.1.108 TESTE etc,pkmode 0 
[11/08/2017][22:34:44]  TESTE etc,changecity city:0 X:2123 Y:2143 
[11/08/2017][22:34:46]  -system err,No empty mobgrid: 3488 622 3757 
[11/08/2017][22:34:58]  -system err,No empty mobgrid(1): 1297 1971 1622 
[11/08/2017][22:34:58]  -system err,No empty mobgrid(1): 5841 3425 1460 
[11/08/2017][22:34:59] IP: 192.168.1.108 TESTE etc,reqteleport char:Teste1 X:1046 Y:1725 price:700 
[11/08/2017][22:35:10]  -system err,No empty mobgrid(1): 5682 3402 1617 
[11/08/2017][22:35:10]  -system err,No empty mobgrid: 5768 3410 1539 
[11/08/2017][22:35:10]  -system err,No empty mobgrid: 5769 3408 1537 
[11/08/2017][22:35:10]  -system err,No empty mobgrid: 5770 3408 1535 
