[30/03/2018][21:48:40]  -system sys,start server 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 62 2215 2063 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 70 2219 2063 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 100 2227 2062 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 328 2321 2218 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 337 2318 2223 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 442 2488 2054 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 545 2488 1950 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 575 2450 1951 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 602 2543 1943 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 673 2618 1978 
[30/03/2018][21:48:52]  -system err,No empty mobgrid: 792 2472 1836 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 802 2476 1820 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 908 2612 2078 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 1032 2396 1688 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 1046 2363 1700 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 1118 2336 1596 
[30/03/2018][21:48:52]  -system err,No empty mobgrid: 1179 2274 1748 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 1184 2226 1748 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 1204 2198 1710 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 1227 2267 1736 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 1240 2296 1618 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 1279 1996 1638 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 1292 1956 1560 
[30/03/2018][21:48:52]  -system err,No empty mobgrid: 1304 1960 1644 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 1506 2192 1360 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 1542 2244 1302 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 1830 279 3790 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 1968 409 3815 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 1995 560 3802 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 2086 750 3809 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 2220 420 4027 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 2253 974 4075 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 2287 1003 4005 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 2307 952 4002 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 2445 2328 2088 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 2542 930 3804 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 2620 1048 3754 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 2869 1195 4023 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 2882 1225 4013 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3051 1397 3790 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3068 1404 3733 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3514 1317 4042 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3850 2123 1632 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3852 2113 1634 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3855 2060 1636 
[30/03/2018][21:48:52]  -system err,No empty mobgrid: 3860 2086 1616 
[30/03/2018][21:48:52]  -system err,No empty mobgrid: 3864 2138 1623 
[30/03/2018][21:48:52]  -system err,No empty mobgrid: 3868 2074 1595 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3869 2083 1596 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3870 2098 1595 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3873 2132 1595 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3874 2124 1582 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3878 2139 1581 
[30/03/2018][21:48:52]  -system err,No empty mobgrid: 3885 2048 1574 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3886 2054 1584 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3887 2059 1551 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3889 2097 1550 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3891 2135 1550 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 3892 2153 1550 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 5690 3432 1622 
[30/03/2018][21:48:52]  -system err,No empty mobgrid: 5770 3409 1534 
[30/03/2018][21:48:52]  -system err,No empty mobgrid(1): 5841 3424 1460 
[30/03/2018][21:49:00]  -system etc,nightmare_arcan clear -21:49 
[30/03/2018][21:49:04]  -system err,No empty mobgrid(1): 70 2224 2063 
[30/03/2018][21:49:04]  -system err,No empty mobgrid(1): 324 2368 2213 
[30/03/2018][21:49:04]  -system err,No empty mobgrid(1): 337 2324 2224 
[30/03/2018][21:49:04]  -system err,No empty mobgrid(1): 601 2543 1954 
[30/03/2018][21:49:04]  -system err,No empty mobgrid(1): 796 2513 1836 
