[09/07/2017][19:17:28]  -system sys,start server 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 62 2215 2063 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 70 2219 2063 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 100 2227 2062 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 328 2321 2218 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 337 2318 2223 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 442 2488 2054 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 545 2488 1950 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 575 2450 1951 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 602 2543 1943 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 673 2618 1978 
[09/07/2017][19:17:40]  -system err,No empty mobgrid: 792 2472 1836 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 802 2476 1820 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 908 2612 2078 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 1032 2396 1688 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 1046 2363 1700 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 1118 2336 1596 
[09/07/2017][19:17:40]  -system err,No empty mobgrid: 1179 2274 1748 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 1184 2226 1748 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 1204 2198 1710 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 1227 2267 1736 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 1240 2296 1618 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 1279 1996 1638 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 1292 1956 1560 
[09/07/2017][19:17:40]  -system err,No empty mobgrid: 1304 1960 1644 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 1506 2192 1360 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 1542 2244 1302 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 1830 279 3790 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 1968 409 3815 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 1995 560 3802 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 2086 750 3809 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 2220 420 4027 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 2253 974 4075 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 2287 1003 4005 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 2307 952 4002 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 2445 2328 2088 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 2542 930 3804 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 2620 1048 3754 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 2869 1195 4023 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 2882 1225 4013 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3051 1397 3790 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3068 1404 3733 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3514 1317 4042 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3850 2123 1632 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3852 2113 1634 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3855 2060 1636 
[09/07/2017][19:17:40]  -system err,No empty mobgrid: 3860 2086 1616 
[09/07/2017][19:17:40]  -system err,No empty mobgrid: 3864 2138 1623 
[09/07/2017][19:17:40]  -system err,No empty mobgrid: 3868 2074 1595 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3869 2083 1596 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3870 2098 1595 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3873 2132 1595 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3874 2124 1582 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3878 2139 1581 
[09/07/2017][19:17:40]  -system err,No empty mobgrid: 3885 2048 1574 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3886 2054 1584 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3887 2059 1551 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3889 2097 1550 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3891 2135 1550 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 3892 2153 1550 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 5690 3432 1622 
[09/07/2017][19:17:40]  -system err,No empty mobgrid: 5770 3409 1534 
[09/07/2017][19:17:40]  -system err,No empty mobgrid(1): 5841 3424 1460 
[09/07/2017][19:17:52]  -system err,No empty mobgrid(1): 70 2224 2063 
[09/07/2017][19:17:52]  -system err,No empty mobgrid(1): 324 2368 2213 
[09/07/2017][19:17:52]  -system err,No empty mobgrid(1): 337 2324 2224 
[09/07/2017][19:17:52]  -system err,No empty mobgrid(1): 601 2543 1954 
[09/07/2017][19:17:52]  -system err,No empty mobgrid(1): 796 2513 1836 
[09/07/2017][19:17:52]  -system err,No empty mobgrid: 1229 2268 1719 
[09/07/2017][19:17:52]  -system err,No empty mobgrid(1): 1293 1945 1573 
[09/07/2017][19:17:52]  -system err,No empty mobgrid(1): 1297 1967 1625 
[09/07/2017][19:17:52]  -system err,No empty mobgrid(1): 1405 1877 1758 
