[06/03/2017][15:08:18]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:18]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:18]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:18]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:18]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:18]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:18]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:19]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:19]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:19]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:19]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:19]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:19]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:19]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:19]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:19]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:20]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:20]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:20]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:20]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:20]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:20]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:20]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:20]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:21]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:21]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:21]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:21]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:21]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
[06/03/2017][15:08:21]  KNUT etc,applybonus name:-Malevola- bonustype:1 special1 
