[06/03/2017][15:01:03]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:2 pontos:100 
[06/03/2017][15:01:03]  SOPRAPVP8 etc,changecity city:0 X:2087 Y:2147 
[06/03/2017][15:01:04]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:3 pontos:100 
[06/03/2017][15:01:05] IP: 189.72.123.56 BENEGAO sta,Login char:Benegrao exp:2039000000 level:354 conn:18 money:1988546600, store:0 
[06/03/2017][15:01:05]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:3 pontos:100 
[06/03/2017][15:01:07]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:2 pontos:100 
[06/03/2017][15:01:08]  BENEGAO etc,changecity city:3 X:3662 Y:3124 
[06/03/2017][15:01:09]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:100 
[06/03/2017][15:01:10] IP: 138.204.140.117 LUANTOP etc,reqteleport char:SpankaNooB X:2366 Y:3906 price:0 
[06/03/2017][15:01:11]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:100 
[06/03/2017][15:01:12]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:100 
[06/03/2017][15:01:15] IP: 138.204.140.117 LUANTOP etc,reqteleport char:SpankaNooB X:3251 Y:1704 price:0 
[06/03/2017][15:01:20] IP: 187.110.69.50 BIKINHO sta,Login char:lH2O exp:800000000 level:39 conn:11 money:1041069778, store:0 
[06/03/2017][15:01:20]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:20]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:20]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21] IP: 189.72.123.56 BENEGAO etc,kingdom command 0  
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:21]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  BIKINHO etc,changecity city:0 X:2096 Y:2099 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:22]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:23]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:23]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:23]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:23]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:23]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:23]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:23]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:23]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:23]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:24]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:24]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:24]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:24]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:24]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:24]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:24]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:25]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:25]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:25]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:25]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:25]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:25]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:25]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:25]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:25]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:25]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:25]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:26]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:26]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:26]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:26]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:26]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:26]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:26]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:27]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:27]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:27]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:27]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:27]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:27]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:27]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:27]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:27]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:27]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:28]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:28]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:28]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:28]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:28]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:28]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:28]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:28]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:28]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:29]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:29]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:29]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:29]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:29]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:29]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:29]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:30]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:30]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:30]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:30]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:30] IP: 189.72.123.56 BENEGAO splititem, no validitem 
[06/03/2017][15:01:30]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:30]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
[06/03/2017][15:01:30]  TAKURE1 etc,applybonus name:FLAVONOIDZ bonustype:0 detail:0 pontos:1 
