[05/03/2017][20:35:34]  -system err,No empty mobgrid: 797 2526 1832 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 798 2535 1831 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 935 2600 2132 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 1065 2368 1685 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 1121 2340 1565 
[05/03/2017][20:35:34]  -system err,No empty mobgrid: 1127 2326 1558 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 1205 2195 1702 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 1227 2267 1737 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 1233 2268 1692 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 1297 1970 1621 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 1397 1904 1718 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 1401 1886 1676 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 1405 1878 1758 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 1556 2274 1253 
[05/03/2017][20:35:34]  -system err,No empty mobgrid: 1871 319 3744 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 2019 596 3771 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 2068 707 3780 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 2086 750 3808 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 2239 412 4066 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 2307 952 4002 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 2335 903 4048 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 2997 1496 4006 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 3850 2123 1631 
[05/03/2017][20:35:34]  -system err,No empty mobgrid: 3853 2086 1635 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 3890 2115 1551 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 3891 2131 1552 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 3892 2151 1552 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 3904 3661 3067 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 4036 3623 2821 
[05/03/2017][20:35:34]  -system err,No empty mobgrid(1): 5971 3390 1089 
[05/03/2017][20:35:37] IP: 187.110.69.50 BIKINHO sta,Login char:lH2O exp:800000000 level:39 conn:2 money:1658560036, store:0 
[05/03/2017][20:35:38] IP: 189.13.226.146 WELMAL sta,Login char:CRAZY exp:60055 level:23 conn:3 money:1574594818, store:0 
[05/03/2017][20:35:38]  BIKINHO etc,changecity city:0 X:2095 Y:2102 
[05/03/2017][20:35:40]  WELMAL etc,changecity city:0 X:2087 Y:2097 
[05/03/2017][20:35:44] IP: 168.181.139.83 CYBER CNFAccountLogin Mac: 548874019.-1988211760.-2140267060.-1976229099 
[05/03/2017][20:35:44] IP: 177.34.26.112 DENIZAO98 sta,Login char:Denizao exp:515416010 level:295 conn:4 money:1998988640, store:0 
[05/03/2017][20:35:46]  -system err,No empty mobgrid(1): 100 2230 2063 
[05/03/2017][20:35:46]  -system err,No empty mobgrid(1): 250 2382 2140 
[05/03/2017][20:35:46]  -system err,No empty mobgrid(1): 268 2363 2170 
[05/03/2017][20:35:46]  -system err,No empty mobgrid(1): 1227 2267 1737 
[05/03/2017][20:35:46]  -system err,No empty mobgrid(1): 1298 1978 1620 
[05/03/2017][20:35:46]  -system err,No empty mobgrid(1): 1556 2274 1254 
[05/03/2017][20:35:46]  -system err,No empty mobgrid(1): 2086 749 3809 
[05/03/2017][20:35:46]  -system err,No empty mobgrid(1): 2626 1127 3731 
[05/03/2017][20:35:46]  -system err,No empty mobgrid(1): 2938 1359 4073 
[05/03/2017][20:35:46]  -system err,No empty mobgrid(1): 2997 1495 4008 
[05/03/2017][20:35:46]  -system err,No empty mobgrid(1): 3458 2385 2118 
[05/03/2017][20:35:46]  -system err,No empty mobgrid(1): 3486 490 3889 
[05/03/2017][20:35:46]  -system err,No empty mobgrid(1): 3605 2450 4010 
[05/03/2017][20:35:46]  -system err,No empty mobgrid(1): 3904 3661 3067 
