[07/08/2017][18:57:35]  -system sys,start server 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 65 2222 2108 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 100 2226 2063 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 223 2350 2128 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 328 2318 2223 
[07/08/2017][18:57:47]  -system err,No empty mobgrid: 534 2484 1966 
[07/08/2017][18:57:47]  -system err,No empty mobgrid: 536 2515 2012 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 700 2665 2004 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 797 2526 1833 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 798 2535 1832 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 883 2575 2059 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 1006 2369 1744 
[07/08/2017][18:57:47]  -system err,No empty mobgrid: 1179 2272 1748 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 1186 2211 1748 
[07/08/2017][18:57:47]  -system err,No empty mobgrid: 1198 2209 1690 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 1230 2250 1735 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 1296 1954 1621 
[07/08/2017][18:57:47]  -system err,No empty mobgrid: 1300 1960 1635 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 1448 1822 1760 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 1456 1817 1678 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 1556 2272 1252 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 1871 319 3744 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 1913 380 3740 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 1914 388 3764 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 1968 411 3815 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 2019 596 3772 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 2500 832 3954 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 2553 912 3753 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 2620 1048 3754 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 2663 2348 2196 
[07/08/2017][18:57:47]  -system err,No empty mobgrid: 2869 1196 4022 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 2938 1359 4072 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 2948 1384 3992 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 2974 1473 3986 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 2997 1495 4007 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3045 1371 3799 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3060 1379 3745 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3102 1442 3772 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3306 1536 1701 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3375 1300 1678 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3486 491 3888 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3792 2231 3627 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3832 2393 2117 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3852 2116 1635 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3860 2087 1610 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3871 2102 1596 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3872 2118 1596 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3873 2136 1594 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3875 2122 1568 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3879 2138 1568 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3880 2087 1566 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3885 2052 1574 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3886 2055 1586 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3887 2062 1551 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 3889 2098 1552 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 5690 3432 1622 
[07/08/2017][18:57:47]  -system err,No empty mobgrid: 5768 3407 1539 
[07/08/2017][18:57:47]  -system err,No empty mobgrid: 5770 3408 1533 
[07/08/2017][18:57:47]  -system err,No empty mobgrid: 5771 3409 1530 
[07/08/2017][18:57:47]  -system err,No empty mobgrid: 5772 3409 1525 
[07/08/2017][18:57:47]  -system err,No empty mobgrid(1): 5971 3392 1088 
