[05/03/2017][11:13:21]  -system sys,start server 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 73 2194 2150 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 160 2306 2128 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 223 2350 2132 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 261 2344 2156 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 328 2319 2221 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 406 2458 2096 
[05/03/2017][11:13:33]  -system err,No empty mobgrid: 466 2536 2084 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 602 2543 1944 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 605 2535 1938 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 697 2644 2016 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 802 2476 1820 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 883 2575 2060 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 998 2414 1744 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1046 2360 1700 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1088 2311 1720 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1104 2338 1616 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1180 2263 1748 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1184 2228 1748 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1298 1977 1624 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1554 2262 1252 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1751 168 3788 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1827 276 3742 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1830 279 3791 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1897 376 3812 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1901 388 3816 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1906 400 3798 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1909 384 3769 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1972 400 3824 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 1995 560 3802 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 2019 596 3772 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 2086 750 3809 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 2220 420 4027 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 2542 930 3804 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 2646 1124 3786 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 2652 2324 2190 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 2661 2322 2195 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 2974 1473 3987 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 3354 1337 1705 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 3375 1302 1679 
[05/03/2017][11:13:33]  -system err,No empty mobgrid: 3840 804 4058 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 3852 2112 1636 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 3855 2061 1635 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 3860 2087 1610 
[05/03/2017][11:13:33]  -system err,No empty mobgrid: 3864 2138 1623 
[05/03/2017][11:13:33]  -system err,No empty mobgrid: 3865 2050 1617 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 3871 2107 1594 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 3879 2139 1566 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 3889 2095 1550 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 3890 2117 1552 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 3891 2134 1552 
[05/03/2017][11:13:33]  -system err,No empty mobgrid: 3894 2038 1572 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 5682 3402 1617 
[05/03/2017][11:13:33]  -system err,No empty mobgrid(1): 5971 3388 1088 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 250 2382 2140 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 601 2543 1955 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 602 2543 1943 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 604 2522 1946 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 700 2664 2004 
[05/03/2017][11:13:45]  -system err,No empty mobgrid: 796 2513 1833 
[05/03/2017][11:13:45]  -system err,No empty mobgrid: 797 2526 1834 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 883 2574 2059 
[05/03/2017][11:13:45]  -system err,No empty mobgrid: 1061 2344 1702 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 1065 2368 1688 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 1088 2310 1721 
[05/03/2017][11:13:45]  -system err,No empty mobgrid: 1197 2209 1704 
[05/03/2017][11:13:45]  -system err,No empty mobgrid: 1229 2270 1719 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 1293 1945 1573 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 1297 1967 1625 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 1405 1877 1758 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 1467 2192 1487 
[05/03/2017][11:13:45]  -system err,No empty mobgrid: 1871 319 3744 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 2048 664 3766 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 2638 1069 3786 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 2973 1463 3987 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 3852 2112 1637 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 3871 2102 1595 
[05/03/2017][11:13:45]  -system err,No empty mobgrid(1): 5682 3402 1618 
[05/03/2017][11:13:57]  -system err,No empty mobgrid(1): 406 2458 2096 
[05/03/2017][11:13:57]  -system err,No empty mobgrid(1): 601 2543 1951 
[05/03/2017][11:13:57]  -system err,No empty mobgrid: 1122 2323 1611 
[05/03/2017][11:13:57]  -system err,No empty mobgrid(1): 1298 1980 1620 
[05/03/2017][11:13:57]  -system err,No empty mobgrid(1): 2048 664 3768 
[05/03/2017][11:13:57]  -system err,No empty mobgrid(1): 2974 1471 3986 
