[17/11/2017][21:17:39]  -system sys,start server 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 62 2215 2063 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 70 2219 2063 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 100 2227 2062 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 328 2321 2218 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 337 2318 2223 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 442 2488 2054 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 545 2488 1950 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 575 2450 1951 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 602 2543 1943 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 673 2618 1978 
[17/11/2017][21:17:52]  -system err,No empty mobgrid: 792 2472 1836 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 802 2476 1820 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 908 2612 2078 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 1032 2396 1688 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 1046 2363 1700 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 1118 2336 1596 
[17/11/2017][21:17:52]  -system err,No empty mobgrid: 1179 2274 1748 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 1184 2226 1748 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 1204 2198 1710 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 1227 2267 1736 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 1240 2296 1618 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 1279 1996 1638 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 1292 1956 1560 
[17/11/2017][21:17:52]  -system err,No empty mobgrid: 1304 1960 1644 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 1506 2192 1360 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 1542 2244 1302 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 1830 279 3790 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 1968 409 3815 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 1995 560 3802 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 2086 750 3809 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 2220 420 4027 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 2253 974 4075 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 2287 1003 4005 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 2307 952 4002 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 2445 2328 2088 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 2542 930 3804 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 2620 1048 3754 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 2869 1195 4023 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 2882 1225 4013 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3051 1397 3790 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3068 1404 3733 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3514 1317 4042 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3850 2123 1632 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3852 2113 1634 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3855 2060 1636 
[17/11/2017][21:17:52]  -system err,No empty mobgrid: 3860 2086 1616 
[17/11/2017][21:17:52]  -system err,No empty mobgrid: 3864 2138 1623 
[17/11/2017][21:17:52]  -system err,No empty mobgrid: 3868 2074 1595 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3869 2083 1596 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3870 2098 1595 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3873 2132 1595 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3874 2124 1582 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3878 2139 1581 
[17/11/2017][21:17:52]  -system err,No empty mobgrid: 3885 2048 1574 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3886 2054 1584 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3887 2059 1551 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3889 2097 1550 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3891 2135 1550 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 3892 2153 1550 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 5690 3432 1622 
[17/11/2017][21:17:52]  -system err,No empty mobgrid: 5770 3409 1534 
[17/11/2017][21:17:52]  -system err,No empty mobgrid(1): 5841 3424 1460 
