[11/08/2017][22:44:37]  -system sys,start server 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 62 2215 2063 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 70 2219 2063 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 100 2227 2062 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 328 2321 2218 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 337 2318 2223 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 442 2488 2054 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 545 2488 1950 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 575 2450 1951 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 602 2543 1943 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 673 2618 1978 
[11/08/2017][22:44:49]  -system err,No empty mobgrid: 792 2472 1836 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 802 2476 1820 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 908 2612 2078 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 1032 2396 1688 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 1046 2363 1700 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 1118 2336 1596 
[11/08/2017][22:44:49]  -system err,No empty mobgrid: 1179 2274 1748 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 1184 2226 1748 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 1204 2198 1710 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 1227 2267 1736 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 1240 2296 1618 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 1279 1996 1638 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 1292 1956 1560 
[11/08/2017][22:44:49]  -system err,No empty mobgrid: 1304 1960 1644 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 1506 2192 1360 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 1542 2244 1302 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 1830 279 3790 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 1968 409 3815 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 1995 560 3802 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 2086 750 3809 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 2220 420 4027 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 2253 974 4075 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 2287 1003 4005 
[11/08/2017][22:44:49]  -system err,No empty mobgrid(1): 2307 952 4002 
