[05/03/2017][11:29:04]  -system sys,start server 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 134 2274 2151 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 139 2274 2104 
[05/03/2017][11:29:16]  -system err,No empty mobgrid: 143 2284 2116 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 261 2344 2156 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 268 2362 2170 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 337 2319 2218 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 426 2474 2084 
[05/03/2017][11:29:16]  -system err,No empty mobgrid: 536 2514 2007 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 569 2540 2004 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 793 2484 1836 
[05/03/2017][11:29:16]  -system err,No empty mobgrid: 797 2526 1834 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 878 2628 2050 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 996 2414 1730 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 1005 2369 1743 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 1013 2424 1710 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 1042 2350 1736 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 1066 2369 1680 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 1104 2336 1616 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 1174 2274 1710 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 1177 2274 1681 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 1206 2195 1691 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 1298 1977 1624 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 1554 2262 1252 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 1751 168 3788 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 1827 276 3742 
[05/03/2017][11:29:16]  -system err,No empty mobgrid(1): 1830 279 3791 
