[20/04/2017][22:35:53]  -system sys,start server 
[20/04/2017][22:36:05]  -system err,No empty mobgrid(1): 65 2222 2108 
[20/04/2017][22:36:05]  -system err,No empty mobgrid(1): 100 2226 2063 
[20/04/2017][22:36:05]  -system err,No empty mobgrid(1): 223 2350 2128 
[20/04/2017][22:36:05]  -system err,No empty mobgrid(1): 328 2318 2223 
[20/04/2017][22:36:05]  -system err,No empty mobgrid: 534 2484 1966 
[20/04/2017][22:36:05]  -system err,No empty mobgrid: 536 2515 2012 
[20/04/2017][22:36:05]  -system err,No empty mobgrid(1): 700 2665 2004 
[20/04/2017][22:36:05]  -system err,No empty mobgrid(1): 797 2526 1833 
[20/04/2017][22:36:05]  -system err,No empty mobgrid(1): 798 2535 1832 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 883 2575 2059 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 1006 2369 1744 
[20/04/2017][22:36:06]  -system err,No empty mobgrid: 1179 2272 1748 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 1186 2211 1748 
[20/04/2017][22:36:06]  -system err,No empty mobgrid: 1198 2209 1690 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 1230 2250 1735 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 1296 1954 1621 
[20/04/2017][22:36:06]  -system err,No empty mobgrid: 1300 1960 1635 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 1448 1822 1760 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 1456 1817 1678 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 1556 2272 1252 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 1871 319 3744 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 1913 380 3740 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 1914 388 3764 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 1968 411 3815 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 2019 596 3772 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 2500 832 3954 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 2553 912 3753 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 2620 1048 3754 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 2663 2348 2196 
[20/04/2017][22:36:06]  -system err,No empty mobgrid: 2869 1196 4022 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 2938 1359 4072 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 2948 1384 3992 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 2974 1473 3986 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 2997 1495 4007 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3045 1371 3799 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3060 1379 3745 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3102 1442 3772 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3306 1536 1701 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3375 1300 1678 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3486 491 3888 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3792 2231 3627 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3832 2393 2117 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3852 2116 1635 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3860 2087 1610 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3871 2102 1596 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3872 2118 1596 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3873 2136 1594 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3875 2122 1568 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3879 2138 1568 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3880 2087 1566 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3885 2052 1574 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3886 2055 1586 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3887 2062 1551 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 3889 2098 1552 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 5690 3432 1622 
[20/04/2017][22:36:06]  -system err,No empty mobgrid: 5768 3407 1539 
[20/04/2017][22:36:06]  -system err,No empty mobgrid: 5770 3408 1533 
[20/04/2017][22:36:06]  -system err,No empty mobgrid: 5771 3409 1530 
[20/04/2017][22:36:06]  -system err,No empty mobgrid: 5772 3409 1525 
[20/04/2017][22:36:06]  -system err,No empty mobgrid(1): 5971 3392 1088 
[20/04/2017][22:36:17]  -system err,No empty mobgrid(1): 100 2228 2062 
[20/04/2017][22:36:17]  -system err,No empty mobgrid(1): 261 2348 2160 
[20/04/2017][22:36:17]  -system err,No empty mobgrid(1): 541 2504 1992 
[20/04/2017][22:36:17]  -system err,No empty mobgrid(1): 887 2616 2064 
[20/04/2017][22:36:17]  -system err,No empty mobgrid(1): 1179 2274 1748 
[20/04/2017][22:36:17]  -system err,No empty mobgrid(1): 1293 1945 1573 
[20/04/2017][22:36:17]  -system err,No empty mobgrid(1): 1297 1972 1623 
[20/04/2017][22:36:17]  -system err,No empty mobgrid(1): 1407 1902 1754 
[20/04/2017][22:36:17]  -system err,No empty mobgrid(1): 1467 2192 1485 
[20/04/2017][22:36:17]  -system err,No empty mobgrid(1): 1914 388 3764 
[20/04/2017][22:36:17]  -system err,No empty mobgrid: 1934 435 3788 
[20/04/2017][22:36:17]  -system err,No empty mobgrid: 1949 458 3740 
