[11/08/2017][23:28:58]  -system sys,start server 
[11/08/2017][23:29:00]  -system etc,nightmare_arcan clear -23:29 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 62 2215 2063 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 70 2219 2063 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 100 2227 2062 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 328 2321 2218 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 337 2318 2223 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 442 2488 2054 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 545 2488 1950 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 575 2450 1951 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 602 2543 1943 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 673 2618 1978 
[11/08/2017][23:29:10]  -system err,No empty mobgrid: 792 2472 1836 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 802 2476 1820 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 908 2612 2078 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 1032 2396 1688 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 1046 2363 1700 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 1118 2336 1596 
[11/08/2017][23:29:10]  -system err,No empty mobgrid: 1179 2274 1748 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 1184 2226 1748 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 1204 2198 1710 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 1227 2267 1736 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 1240 2296 1618 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 1279 1996 1638 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 1292 1956 1560 
[11/08/2017][23:29:10]  -system err,No empty mobgrid: 1304 1960 1644 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 1506 2192 1360 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 1542 2244 1302 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 1830 279 3790 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 1968 409 3815 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 1995 560 3802 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 2086 750 3809 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 2220 420 4027 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 2253 974 4075 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 2287 1003 4005 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 2307 952 4002 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 2445 2328 2088 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 2542 930 3804 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 2620 1048 3754 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 2869 1195 4023 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 2882 1225 4013 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3051 1397 3790 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3068 1404 3733 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3514 1317 4042 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3850 2123 1632 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3852 2113 1634 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3855 2060 1636 
[11/08/2017][23:29:10]  -system err,No empty mobgrid: 3860 2086 1616 
[11/08/2017][23:29:10]  -system err,No empty mobgrid: 3864 2138 1623 
[11/08/2017][23:29:10]  -system err,No empty mobgrid: 3868 2074 1595 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3869 2083 1596 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3870 2098 1595 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3873 2132 1595 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3874 2124 1582 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3878 2139 1581 
[11/08/2017][23:29:10]  -system err,No empty mobgrid: 3885 2048 1574 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3886 2054 1584 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3887 2059 1551 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3889 2097 1550 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3891 2135 1550 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 3892 2153 1550 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 5690 3432 1622 
[11/08/2017][23:29:10]  -system err,No empty mobgrid: 5770 3409 1534 
[11/08/2017][23:29:10]  -system err,No empty mobgrid(1): 5841 3424 1460 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 70 2224 2063 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 324 2368 2213 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 337 2324 2224 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 601 2543 1954 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 796 2513 1836 
[11/08/2017][23:29:22]  -system err,No empty mobgrid: 1229 2268 1719 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 1293 1945 1573 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 1297 1967 1625 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 1405 1877 1758 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 1467 2192 1487 
[11/08/2017][23:29:22]  -system err,No empty mobgrid: 1871 321 3744 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 1934 435 3788 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 1968 410 3815 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 2019 596 3770 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 2086 749 3809 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 2287 1003 4004 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 2523 799 3889 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 2601 1030 3762 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 2617 1077 3753 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 2635 1068 3786 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 2641 1128 3762 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 3051 1396 3789 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 3511 1333 4039 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 3852 2112 1637 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 3869 2085 1596 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 3873 2133 1595 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 3878 2139 1583 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 3891 2133 1551 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 4036 3622 2822 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 5690 3432 1622 
[11/08/2017][23:29:22]  -system err,No empty mobgrid(1): 5841 3424 1460 
[11/08/2017][23:29:34]  -system err,No empty mobgrid(1): 259 2360 2160 
[11/08/2017][23:29:34]  -system err,No empty mobgrid(1): 1296 1953 1621 
[11/08/2017][23:29:34]  -system err,No empty mobgrid(1): 1298 1982 1620 
[11/08/2017][23:29:34]  -system err,No empty mobgrid(1): 3605 2448 4010 
[11/08/2017][23:29:34]  -system err,No empty mobgrid(1): 3792 2232 3628 
[11/08/2017][23:29:34]  -system err,No empty mobgrid(1): 3852 2113 1636 
[11/08/2017][23:29:34]  -system err,No empty mobgrid(1): 3891 2131 1551 
[11/08/2017][23:29:34]  -system err,No empty mobgrid(1): 3904 3661 3067 
[11/08/2017][23:29:34]  -system err,No empty mobgrid(1): 4106 3541 2896 
[11/08/2017][23:29:34]  -system err,No empty mobgrid(1): 5690 3432 1622 
[11/08/2017][23:29:34]  -system err,No empty mobgrid(1): 5841 3425 1459 
[11/08/2017][23:29:40] IP: 192.168.1.108 ADMIN CNFAccountLogin Mac: -1327610679.-2104213023.-2033555236.-2082929153 
[11/08/2017][23:29:46]  -system err,No empty mobgrid: 147 2292 2126 
[11/08/2017][23:29:46]  -system err,No empty mobgrid: 1197 2209 1705 
[11/08/2017][23:29:46]  -system err,No empty mobgrid(1): 1293 1945 1575 
[11/08/2017][23:29:46]  -system err,No empty mobgrid(1): 1297 1967 1620 
[11/08/2017][23:29:46]  -system err,No empty mobgrid(1): 1467 2192 1487 
[11/08/2017][23:29:46]  -system err,No empty mobgrid(1): 2086 750 3808 
[11/08/2017][23:29:46]  -system err,No empty mobgrid(1): 3511 1333 4040 
[11/08/2017][23:29:46]  -system err,No empty mobgrid(1): 3852 2112 1635 
[11/08/2017][23:29:46]  -system err,No empty mobgrid(1): 3891 2134 1551 
[11/08/2017][23:29:46]  -system err,No empty mobgrid(1): 5832 3426 1432 
[11/08/2017][23:29:51] IP: 192.168.1.108 ADMIN sta,Login char:HT-te exp:848214935 level:312 conn:1 money:790348270, store:0 
[11/08/2017][23:29:52]  ADMIN etc,changecity city:3 X:3664 Y:3122 
[11/08/2017][23:29:55] IP: 192.168.1.108 ADMIN etc,pkmode 1 
[11/08/2017][23:29:58]  -system err,No empty mobgrid(1): 1204 2195 1708 
[11/08/2017][23:29:58]  -system err,No empty mobgrid(1): 1296 1952 1621 
[11/08/2017][23:29:58]  -system err,No empty mobgrid(1): 1542 2244 1303 
[11/08/2017][23:29:58]  -system err,No empty mobgrid(1): 3891 2130 1552 
[11/08/2017][23:29:58]  -system err,No empty mobgrid(1): 4036 3621 2821 
[11/08/2017][23:29:58] IP: 192.168.1.108 ADMIN etc,pkmode 0 
[11/08/2017][23:30:01] IP: 192.168.1.108 ADMIN etc,pkmode 1 
[11/08/2017][23:30:02] IP: 192.168.1.108 ADMIN etc,pkmode 0 
[11/08/2017][23:30:04] IP: 192.168.1.108 ADMIN etc,reqteleport char:HT-te X:1054 Y:1710 price:0 
[11/08/2017][23:30:10]  -system err,No empty mobgrid(1): 1297 1967 1624 
[11/08/2017][23:30:10]  -system err,No empty mobgrid(1): 3605 2448 4009 
[11/08/2017][23:30:22]  -system err,No empty mobgrid(1): 1204 2194 1711 
[11/08/2017][23:30:23] IP: 192.168.1.108 ADMIN etc,msg_attack attacker:1 name:HT-te target:5759 name:Tauron dam:5254 x:1159 y:1724 
[11/08/2017][23:30:25] IP: 192.168.1.108 ADMIN etc,msg_attack attacker:1 name:HT-te target:5759 name:Tauron dam:5424 x:1159 y:1724 
[11/08/2017][23:30:26] IP: 192.168.1.108 ADMIN etc,msg_attack attacker:1 name:HT-te target:5759 name:Tauron dam:5508 x:1153 y:1723 
[11/08/2017][23:30:27] IP: 192.168.1.108 ADMIN etc,msg_attack attacker:1 name:HT-te target:5759 name:Tauron dam:5340 x:1153 y:1723 
[11/08/2017][23:30:28] IP: 192.168.1.108 ADMIN etc,msg_attack attacker:1 name:HT-te target:5759 name:Tauron dam:5536 x:1153 y:1723 
[11/08/2017][23:30:29] IP: 192.168.1.108 ADMIN etc,msg_attack attacker:1 name:HT-te target:5759 name:Tauron dam:5312 x:1153 y:1723 
[11/08/2017][23:30:34]  -system err,No empty mobgrid(1): 1297 1968 1624 
[11/08/2017][23:30:34]  -system err,No empty mobgrid(1): 3511 1332 4041 
[11/08/2017][23:30:34]  -system err,No empty mobgrid(1): 4036 3621 2821 
[11/08/2017][23:30:46]  -system err,No empty mobgrid(1): 1204 2195 1708 
[11/08/2017][23:30:46]  -system err,No empty mobgrid(1): 2748 1710 1826 
[11/08/2017][23:30:46]  -system err,No empty mobgrid(1): 3488 621 3757 
[11/08/2017][23:30:46]  -system err,No empty mobgrid(1): 3605 2448 4008 
[11/08/2017][23:30:58] IP: 192.168.1.108 ADMIN etc,reqteleport char:HT-te X:2456 Y:2018 price:0 
[11/08/2017][23:30:58]  -system err,No empty mobgrid(1): 3511 1332 4041 
[11/08/2017][23:30:58]  -system err,No empty mobgrid(1): 5841 3424 1460 
[11/08/2017][23:30:58]  ADMIN etc,changecity city:2 X:2456 Y:2018 
[11/08/2017][23:31:06] IP: 192.168.1.108 ADMIN etc,msg_attack attacker:1 name:HT-te target:1366 name:Meio Orc dam:7928 x:2482 y:2015 
[11/08/2017][23:31:06] IP: 192.168.1.108 ADMIN MobName:HT-te dropou o item: Luvas_Vampíricas(A):1835 43.1.72.20.74.9 do mob:Meio Orc 
