[11/03/2017][22:17:42]  -system sys,start server 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 62 2215 2063 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 70 2219 2063 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 100 2227 2062 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 328 2321 2218 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 337 2318 2223 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 442 2488 2054 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 545 2488 1950 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 575 2450 1951 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 602 2543 1943 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 673 2618 1978 
[11/03/2017][22:17:55]  -system err,No empty mobgrid: 792 2472 1836 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 802 2476 1820 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 908 2612 2078 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 1032 2396 1688 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 1046 2363 1700 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 1118 2336 1596 
[11/03/2017][22:17:55]  -system err,No empty mobgrid: 1179 2274 1748 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 1184 2226 1748 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 1204 2198 1710 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 1227 2267 1736 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 1240 2296 1618 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 1279 1996 1638 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 1292 1956 1560 
[11/03/2017][22:17:55]  -system err,No empty mobgrid: 1304 1960 1644 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 1506 2192 1360 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 1542 2244 1302 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 1830 279 3790 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 1968 409 3815 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 1995 560 3802 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 2086 750 3809 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 2220 420 4027 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 2253 974 4075 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 2287 1003 4005 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 2307 952 4002 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 2445 2328 2088 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 2542 930 3804 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 2620 1048 3754 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 2869 1195 4023 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 2882 1225 4013 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3051 1397 3790 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3068 1404 3733 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3514 1317 4042 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3850 2123 1632 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3852 2113 1634 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3855 2060 1636 
[11/03/2017][22:17:55]  -system err,No empty mobgrid: 3860 2086 1616 
[11/03/2017][22:17:55]  -system err,No empty mobgrid: 3864 2138 1623 
[11/03/2017][22:17:55]  -system err,No empty mobgrid: 3868 2074 1595 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3869 2083 1596 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3870 2098 1595 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3873 2132 1595 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3874 2124 1582 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3878 2139 1581 
[11/03/2017][22:17:55]  -system err,No empty mobgrid: 3885 2048 1574 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3886 2054 1584 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3887 2059 1551 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3889 2097 1550 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3891 2135 1550 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 3892 2153 1550 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 5690 3432 1622 
[11/03/2017][22:17:55]  -system err,No empty mobgrid: 5770 3409 1534 
[11/03/2017][22:17:55]  -system err,No empty mobgrid(1): 5841 3424 1460 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 70 2224 2063 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 324 2368 2213 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 337 2324 2224 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 601 2543 1954 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 796 2513 1836 
[11/03/2017][22:18:06]  -system err,No empty mobgrid: 1229 2268 1719 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 1293 1945 1573 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 1297 1967 1625 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 1405 1877 1758 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 1467 2192 1487 
[11/03/2017][22:18:06]  -system err,No empty mobgrid: 1871 321 3744 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 1934 435 3788 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 1968 410 3815 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 2019 596 3770 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 2086 749 3809 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 2287 1003 4004 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 2523 799 3889 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 2601 1030 3762 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 2617 1077 3753 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 2635 1068 3786 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 2641 1128 3762 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 3051 1396 3789 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 3511 1333 4039 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 3852 2112 1637 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 3869 2085 1596 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 3873 2133 1595 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 3878 2139 1583 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 3891 2133 1551 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 4036 3622 2822 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 5690 3432 1622 
[11/03/2017][22:18:06]  -system err,No empty mobgrid(1): 5841 3424 1460 
[11/03/2017][22:18:18]  -system err,No empty mobgrid(1): 259 2360 2160 
[11/03/2017][22:18:18]  -system err,No empty mobgrid(1): 1296 1953 1621 
[11/03/2017][22:18:18]  -system err,No empty mobgrid(1): 1298 1982 1620 
[11/03/2017][22:18:18]  -system err,No empty mobgrid(1): 3605 2448 4010 
[11/03/2017][22:18:18]  -system err,No empty mobgrid(1): 3792 2232 3628 
[11/03/2017][22:18:18]  -system err,No empty mobgrid(1): 3852 2113 1636 
[11/03/2017][22:18:18]  -system err,No empty mobgrid(1): 3891 2131 1551 
[11/03/2017][22:18:18]  -system err,No empty mobgrid(1): 3904 3661 3067 
[11/03/2017][22:18:18]  -system err,No empty mobgrid(1): 4106 3541 2896 
[11/03/2017][22:18:18]  -system err,No empty mobgrid(1): 5690 3432 1622 
[11/03/2017][22:18:18] IP: 192.168.1.110 CYBER CNFAccountLogin Mac: 548874019.-1988211760.-2140267060.-1976229099 
[11/03/2017][22:18:30]  -system err,No empty mobgrid(1): 1065 2368 1684 
[11/03/2017][22:18:30]  -system err,No empty mobgrid: 1193 2209 1736 
[11/03/2017][22:18:30]  -system err,No empty mobgrid: 1197 2209 1705 
[11/03/2017][22:18:30]  -system err,No empty mobgrid(1): 1205 2195 1698 
[11/03/2017][22:18:30]  -system err,No empty mobgrid: 1229 2271 1719 
[11/03/2017][22:18:30]  -system err,No empty mobgrid(1): 1335 1966 1684 
[11/03/2017][22:18:30]  -system err,No empty mobgrid(1): 1467 2192 1485 
[11/03/2017][22:18:30]  -system err,No empty mobgrid(1): 2086 749 3808 
[11/03/2017][22:18:30]  -system err,No empty mobgrid(1): 3511 1332 4042 
[11/03/2017][22:18:30]  -system err,No empty mobgrid(1): 5832 3426 1432 
[11/03/2017][22:18:37] IP: 192.168.1.110 CYBER etc,createchar name:FOEMA 1 13 
[11/03/2017][22:18:42]  -system err,No empty mobgrid(1): 1118 2336 1596 
[11/03/2017][22:18:42]  -system err,No empty mobgrid(1): 1204 2195 1711 
[11/03/2017][22:18:42]  -system err,No empty mobgrid(1): 1298 1979 1623 
[11/03/2017][22:18:42]  -system err,No empty mobgrid(1): 1364 1986 1752 
[11/03/2017][22:18:42]  -system err,No empty mobgrid(1): 2086 749 3808 
[11/03/2017][22:18:50] IP: 192.168.1.110 CYBER sta,Login char:FOEMA exp:0 level:0 conn:1 money:2000000000, store:0 
[11/03/2017][22:18:51]  CYBER etc,changecity city:0 X:2097 Y:2106 
[11/03/2017][22:18:54]  -system err,No empty mobgrid(1): 1205 2195 1700 
[11/03/2017][22:18:54]  -system err,No empty mobgrid(1): 1297 1967 1624 
[11/03/2017][22:18:54]  -system err,No empty mobgrid(1): 2086 750 3809 
[11/03/2017][22:18:54]  -system err,No empty mobgrid(1): 2745 1710 1826 
[11/03/2017][22:18:54]  -system err,No empty mobgrid(1): 3453 2394 2101 
[11/03/2017][22:18:54]  -system err,No empty mobgrid(1): 3511 1332 4039 
[11/03/2017][22:18:54]  -system err,No empty mobgrid(1): 3605 2448 4009 
[11/03/2017][22:18:54]  -system err,No empty mobgrid(1): 5841 3426 1459 
[11/03/2017][22:19:00]  -system etc,nightmare_normal clear -22:19 
[11/03/2017][22:19:06]  -system err,No empty mobgrid(1): 1118 2334 1594 
[11/03/2017][22:19:06]  -system err,No empty mobgrid(1): 1298 1980 1621 
[11/03/2017][22:19:06]  -system err,No empty mobgrid(1): 3498 687 3732 
[11/03/2017][22:19:06]  -system err,No empty mobgrid(1): 5841 3424 1460 
[11/03/2017][22:19:18]  -system err,No empty mobgrid(1): 1297 1971 1621 
[11/03/2017][22:19:18]  -system err,No empty mobgrid(1): 2817 1746 1628 
[11/03/2017][22:19:18]  -system err,No empty mobgrid(1): 5841 3425 1459 
[11/03/2017][22:19:30]  -system err,No empty mobgrid(1): 3605 2449 4010 
[11/03/2017][22:19:42]  -system err,No empty mobgrid(1): 1297 1966 1624 
[11/03/2017][22:19:54]  -system err,No empty mobgrid(1): 5841 3426 1460 
[11/03/2017][22:20:06]  -system err,No empty mobgrid(1): 3605 2448 4009 
[11/03/2017][22:20:06]  -system err,No empty mobgrid(1): 5841 3424 1460 
[11/03/2017][22:20:09] IP: 192.168.1.110 CYBER etc,motion motion:17 parm:0 notused:0 
[11/03/2017][22:20:21] IP: 192.168.1.110 CYBER clo,fd 22-2 
[11/03/2017][22:20:21] IP: 192.168.1.110 CYBER etc,charlogout conn:1 name:FOEMA 
