05.03.2017.19.46.02 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:49 
05.03.2017.19.46.02 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:50 
05.03.2017.19.46.02 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:50 
05.03.2017.19.46.02 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:50 
05.03.2017.19.46.02 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:50 
05.03.2017.19.46.03 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:51 
05.03.2017.19.46.03 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:51 
05.03.2017.19.46.03 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:52 
05.03.2017.19.46.03 IP: 187.110.69.50 BIKINHO buy_npc,npc:Refinacoes price:7350 item: Pergaminho_Selado : 4127.0.0.0.0.0.0 
05.03.2017.19.46.04 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:52 
05.03.2017.19.46.04 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:53 
05.03.2017.19.46.04 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:54 
05.03.2017.19.46.04 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:55 
05.03.2017.19.46.04 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:56 
05.03.2017.19.46.04 IP: 187.110.69.50 BIKINHO buy_npc,npc:Refinacoes price:7350 item: Pergaminho_Selado : 4127.0.0.0.0.0.0 
05.03.2017.19.46.05 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:56 
05.03.2017.19.46.05 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:57 
05.03.2017.19.46.05 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:58 
05.03.2017.19.46.05 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:58 
05.03.2017.19.46.05 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:58 
05.03.2017.19.46.06 IP: 187.110.69.50 BIKINHO buy_npc,npc:Refinacoes price:7350 item: Pergaminho_Selado : 4127.0.0.0.0.0.0 
05.03.2017.19.46.06 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:59 
05.03.2017.19.46.06 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:59 
05.03.2017.19.46.06 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:60 
05.03.2017.19.46.06 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:60 
05.03.2017.19.46.06 IP: 201.23.128.224 ALUKZ useitem,poeira_de_fada classmaster:2 level:60 
